country,year,gdp_per_capita,investment_rate,population_growth,school_enrollment,gdp_pc_t10,growth_10y_avg,n_g_delta,ln_y0,ln_s,ln_ngd,ln_h
EST,2000,10006.7696280939,28.4761032107323,0.483707161729931,95.0215377807617,14657.939813612,0.03817203286840929,0.05483707161729931,9.21101710574961,-1.2561049342716346,-2.90338882437718,4.554103579386625
EST,2010,14657.939813612,21.5876781655604,-0.22805796852935,110.888679504395,19946.945696898,0.030809387826377765,0.047719420314706495,9.592737434433703,-1.5330474893676307,-3.0424168294643756,4.708526810736543
EUU,2000,26365.798677465,23.4452666779727,0.119607067359065,101.507369995117,29352.9442515094,0.010732519083695102,0.05119607067359065,10.179822944601325,-1.4505015588909422,-2.9720924945381295,4.620131406635136
EUU,2010,29352.9442515094,20.9287617842046,0.158405309698739,106.968536376953,31435.0353450837,0.006853018976456404,0.05158405309698739,10.287148135438276,-1.5640458111366415,-2.964542702767948,4.672534738668136
FIN,2000,37872.6020343504,23.8741513058525,0.2076065154133,125.493049621582,43556.5385834368,0.013983188251644307,0.052076065154133,10.54198322818293,-1.4323738476519694,-2.9550498378122554,4.832250375536888
FIN,2010,43556.5385834368,22.6073229974435,0.457494535465831,108.609390258789,44690.9801103074,0.002571186229905642,0.05457494535465831,10.681815110699374,-1.4868963057595261,-2.90818037783553,4.687757870233179
FRA,2000,33255.1379642335,21.8578770673408,0.686335719566776,105.590217590332,35578.1968010183,0.006752372042046239,0.05686335719566776,10.41196455938631,-1.520608822898899,-2.8671041313142975,4.659565730525951
FRA,2010,35578.1968010183,21.3378695020042,0.492976371032656,106.424942016602,35709.2045925926,0.00036754864533534716,0.05492976371032656,10.479488279806773,-1.5446867809932547,-2.901699933287569,4.6674399668853335
GBR,2000,39297.1366317267,18.9469377484139,0.357300887421605,101.204376220703,42762.720840223,0.008451505765625988,0.05357300887421605,10.578906935959393,-1.663527863907527,-2.92670990351676,4.61714199920598
GBR,2010,42762.720840223,16.6181160375508,0.783888646646516,103.46118927002,42982.4631007642,0.000512548300683946,0.05783888646646516,10.663421993615653,-1.7946767581273166,-2.8500939532798615,4.639196559483398
GEO,2000,1561.19867638847,26.581315880922,-1.9446291567975,83.4423599243164,3090.06513662318,0.06827382619936043,0.030553708432024998,7.3532091874893375,-1.324961627497921,-3.4882692117945853,4.424156093182262
GHA,1990,855.85250708181,14.4439972906995,2.55156185640349,33.9981918334961,1022.27520714566,0.017768796095030747,0.0755156185640349,6.752098056484593,-1.9348912701456267,-2.5834157757236613,3.5263073418342206
GHA,2000,1022.27520714566,23.9986004971918,2.51243583964957,32.5775909423828,1381.2279503506,0.030094218415666684,0.0751243583964957,6.929786017434901,-1.4271746699574008,-2.588610426642494,3.483624657603369
GIN,1990,548.371534819426,13.7904295464944,3.45583486210679,9.75790977478027,614.137235083638,0.011326537261240065,0.0845583486210679,6.306953040468329,-1.981195345538607,-2.47031346668999,2.278078215068901
GMB,1990,658.711165332156,22.3431942658285,4.19595803109441,15.0076599121094,659.911237641141,0.00018201914931950113,0.0919595803109441,6.490285146060383,-1.4986484184219884,-2.386406142919405,2.7085607315666453
GMB,2010,701.014524591061,13.8767105275043,2.90737929979677,45.5351409912109,670.758642891251,-0.004411923199956647,0.0790737929979677,6.552528606636002,-1.974958252692532,-2.537373773922505,3.8184843573411307
GNB,2000,571.094015178625,20.0607519051822,2.00706384351502,17.9289207458496,625.904027290582,0.009164320215654165,0.0700706384351502,6.34755384615281,-1.606404921346087,-2.658251425250448,2.8864150931589663
GRC,2000,18002.9064613985,26.1132103512829,0.409041838238246,97.0996704101562,21547.724178239,0.01797369894557832,0.05409041838238246,9.798288493921106,-1.3427288559796606,-2.917098218198369,4.575737980957391
GRC,2010,21547.724178239,18.2157587611931,0.128880432668041,107.819053649902,17486.951333323,-0.02088152396874605,0.05128880432668041,9.97802548337689,-1.702883100551439,-2.9702827898690587,4.680454392855547
GTM,2000,3165.9323746889,17.8353874290357,2.37572059022903,30.9806594848633,3546.6258162259,0.011354907582515495,0.07375720590229029,8.06020288035462,-1.723985644450704,-2.6069765813855414,3.4333631222012477
GTM,2010,3546.6258162259,14.1641936924863,1.9815646590713,52.1883200232994,4005.83911593999,0.012175639846568132,0.069815646590713,8.173751956179775,-1.9544529768470233,-2.6618971311438937,3.954858715508932
HIC,2000,30158.070077562,24.3488695948533,0.505295213959564,98.5795593261719,34192.5146608152,0.01255541989247284,0.05505295213959564,10.314207830603722,-1.412684760746393,-2.8994597907372994,4.590863931051902
HIC,2010,34192.5146608152,21.1569569817429,0.445325900959658,101.19947052002,37538.2523693096,0.009335372570072487,0.05445325900959658,10.43976202952845,-1.5532013992761688,-2.9104125781418397,4.617093524824066
HKG,2010,38090.0213994329,23.8904664218175,0.734446396338105,87.9053960567278,41451.2981131333,0.008456685635474592,0.057344463963381054,10.547707621284856,-1.431690701114818,-2.8586789707831293,4.476261191393139
HND,2010,2108.47314459603,21.8798406875029,2.12597244017857,66.1681900024414,2189.43168668222,0.0037677948964192076,0.0712597244017857,7.653719336371345,-1.5196044896535565,-2.6414239863142317,4.19219983390104
HPC,1990,695.248635347885,15.0654261960008,2.688042877857,18.2614898681641,679.180241236318,-0.0023382986946388407,0.07688042877857,6.544269530289976,-1.8927677233313316,-2.565503937090986,2.904794463742223
HPC,2000,679.180241236318,20.1502241027801,2.71448952208293,21.4551296234131,829.378145273867,0.01997896540779589,0.0771448952208293,6.520886543343588,-1.6019547759311856,-2.5620698692988513,3.065963760066491
HPC,2010,829.378145273867,23.3619073685389,2.7711118820923,35.683780670166,946.680806659878,0.013228578156659232,0.07771111882092299,6.720676197421547,-1.454063380310864,-2.554756932477895,3.574696262585108
HRV,2010,11965.0049285028,20.3670619597928,-0.226821270818422,98.8955230712891,13545.4881162417,0.012406737825405578,0.04773178729181578,9.38974141225236,-1.5912511998392034,-3.0421577027861786,4.594063970377473
HUN,2000,8979.73578602949,28.1973908964954,-0.259764908288633,96.2051086425781,11287.3686666108,0.02287138239905797,0.04740235091711367,9.102725738372246,-1.2659407337252646,-3.0490834541035556,4.566482460654377
