country,year,gdp_per_capita,investment_rate,population_growth,school_enrollment
GIN,2000,614.137235083638,14.0409789124706,1.96135964318577,
GIN,2010,675.736917327708,20.3254011637907,2.45929310036327,
GIN,2020,945.570903389665,31.5164009990609,2.55139953603925,
GMB,1990,658.711165332156,22.3431942658285,4.19595803109441,15.0076599121094
GMB,2000,659.911237641141,4.56249739677209,2.73837212713207,
GMB,2010,701.014524591061,13.8767105275043,2.90737929979677,45.5351409912109
GMB,2020,670.758642891251,32.34205468872,2.3686612920428,
GNB,1990,569.169670374215,29.925818675468,1.64439069661036,
GNB,2000,571.094015178625,20.0607519051822,2.00706384351502,17.9289207458496
GNB,2010,625.904027290582,19.4936149100766,2.58492032110101,
GNB,2020,710.275129060129,25.6521152299655,2.28895000835492,
GNQ,1990,366.314404747023,,3.75220424317215,
GNQ,2000,3839.08642737128,,5.26428495953201,21.7535190582275
GNQ,2010,10984.3243932426,38.0562994925977,4.59586770504622,
GNQ,2020,5575.26241511492,6.98846405853807,2.73390823188935,
GRC,1990,15438.7937023583,25.4339840826852,1.05780801198192,
GRC,2000,18002.9064613985,26.1132103512829,0.409041838238246,97.0996704101562
GRC,2010,21547.724178239,18.2157587611931,0.128880432668041,107.819053649902
GRC,2020,17486.951333323,13.5410023084822,-0.214592106571664,103.615829467773
GRD,1990,5102.69172981553,,0.839876746030971,91.9722290039062
GRD,2000,6677.1265230922,,0.676075747933343,
GRD,2010,7670.71165827663,,0.297971859311282,117.012619018555
GRD,2020,8413.28335500372,,0.309914935427349,104.298669179131
GRL,1990,26805.5496974442,,0.54102927282477,
GRL,2000,31623.0591501943,,0.151400483121501,
GRL,2010,43481.5161087805,52.3533172325614,0.373924959638993,
GRL,2020,48169.9406957389,33.0152180796327,0.252238303411568,
GTM,1990,2741.53813375037,13.6026147116177,2.80043619096186,
GTM,2000,3165.9323746889,17.8353874290357,2.37572059022903,30.9806594848633
GTM,2010,3546.6258162259,14.1641936924863,1.9815646590713,52.1883200232994
GTM,2020,4005.83911593999,13.5006823739789,1.47137710546514,51.7956964848587
GUM,1990,,,2.0488382898029,
GUM,2000,,,1.11575065774253,
GUM,2010,32644.1484056205,,0.209801847347007,
GUM,2020,32884.8852646787,,0.216072141009173,
GUY,1990,2377.21795364949,31.1330985432403,-0.660706210543192,
GUY,2000,3759.60789699989,23.7759824891985,0.0456413500238234,
GUY,2010,4860.09110980566,,-0.378060196527414,93.2864608764648
GUY,2020,9010.61000469878,,-0.0227843180487706,86.9400100708008
HIC,1990,24715.0139657241,25.9449919046574,0.6299272842616,
HIC,2000,30158.070077562,24.3488695948533,0.505295213959564,98.5795593261719
HIC,2010,34192.5146608152,21.1569569817429,0.445325900959658,101.19947052002
HIC,2020,37538.2523693096,22.6655293178501,0.266061996745819,104.233299255371
HKG,1990,21357.261954163,27.1705247840656,0.321315033221987,
HKG,2000,26933.2377453994,27.58240928418,0.881594075853745,
HKG,2010,38090.0213994329,23.8904664218175,0.734446396338105,87.9053960567278
HKG,2020,41451.2981131333,18.9818868649406,-0.358932661902885,100.449691991786
HND,1990,457.981040092588,20.8145297308561,2.82334774964439,
HND,2000,1789.47798512637,28.2884312103977,2.73259067031821,
HND,2010,2108.47314459603,21.8798406875029,2.12597244017857,66.1681900024414
HND,2020,2189.43168668222,19.666372727561,1.75456432541029,58.4268999434804
HPC,1990,695.248635347885,15.0654261960008,2.688042877857,18.2614898681641
HPC,2000,679.180241236318,20.1502241027801,2.71448952208293,21.4551296234131
HPC,2010,829.378145273867,23.3619073685389,2.7711118820923,35.683780670166
HPC,2020,946.680806659878,24.4126323327254,2.76199816104367,41.8020210266113
HRV,1990,9754.64902543885,,0.211805086145315,
HRV,2000,8880.26980689876,19.3210721914251,-0.986434858645568,
HRV,2010,11965.0049285028,20.3670619597928,-0.226821270818422,98.8955230712891
HRV,2020,13545.4881162417,23.5443662718786,-0.894863743984583,105.585418701172
HTI,1990,1627.31264525633,19.9200669136332,2.05931426942796,
HTI,2000,1342.89490450523,8.32239600531104,1.84581482966936,
HTI,2010,1317.58389339746,24.988217664925,1.16672671353074,
HTI,2020,1331.69778506932,17.70308377994,1.24109993204209,
HUN,1990,8646.44754431988,,-1.03311729690015,
HUN,2000,8979.73578602949,28.1973908964954,-0.259764908288633,96.2051086425781
HUN,2010,11287.3686666108,21.1892791243323,-0.226013875689698,101.997688293457
