country,year,gdp_per_capita,investment_rate,population_growth
FRA,2000,33255.13796,21.85787707,0.68633572
FRA,2010,35578.1968,21.3378695,0.492976371
FRA,2020,35709.20459,22.80441821,0.324557781
FRO,1990,,,-0.455600696
FRO,2000,,30.81756631,1.337753723
FRO,2010,42333.52157,19.52082475,-0.275018645
FRO,2020,54301.65941,28.25827972,1.481480184
FSM,1990,2384.944582,,1.886083795
FSM,2000,2724.422456,,0.325401228
FSM,2010,2884.917336,,-0.387012831
FSM,2020,2951.771143,,0.573243642
GAB,1990,8354.26309,21.67715661,2.740795362
GAB,2000,7596.099707,21.90205643,2.585402093
GAB,2010,6481.496121,29.70111381,3.449942679
GAB,2020,6534.279665,19.86346911,2.389223598
GBR,1990,30071.20856,23.55588795,0.298930554
GBR,2000,39297.13663,18.94693775,0.357300887
GBR,2010,42762.72084,16.61811604,0.783888647
GBR,2020,42982.4631,18.28071464,0.169447088
GEO,1990,3534.032277,30.73633569,-0.027068389
GEO,2000,1561.198676,26.58131588,-1.944629157
GEO,2010,3090.065137,20.9291494,-0.729475257
GEO,2020,4659.609253,24.6056866,0.068656249
GHA,1990,855.8525071,14.44399729,2.551561856
GHA,2000,1022.275207,23.9986005,2.51243584
GHA,2010,1381.22795,13.10019371,2.43301424
GHA,2020,1970.194115,18.22366699,1.991819851
GIB,1990,,,-1.256775273
GIB,2000,,,0.061370735
GIB,2010,,,1.369420959
GIB,2020,,,1.894931608
GIN,1990,548.3715348,13.79042955,3.455834862
GIN,2000,614.1372351,14.04097891,1.961359643
GIN,2010,675.7369173,20.32540116,2.4592931
GIN,2020,945.5709034,31.516401,2.551399536
GMB,1990,658.7111653,22.34319427,4.195958031
GMB,2000,659.9112376,4.562497397,2.738372127
GMB,2010,701.0145246,13.87671053,2.9073793
GMB,2020,670.7586429,32.34205469,2.368661292
GNB,1990,569.1696704,29.92581868,1.644390697
GNB,2000,571.0940152,20.06075191,2.007063844
GNB,2010,625.9040273,19.49361491,2.584920321
GNB,2020,710.2751291,25.65211523,2.288950008
GNQ,1990,366.3144047,,3.752204243
GNQ,2000,3839.086427,,5.26428496
GNQ,2010,10984.32439,38.05629949,4.595867705
GNQ,2020,5575.262415,6.988464059,2.733908232
GRC,1990,15438.7937,25.43398408,1.057808012
GRC,2000,18002.90646,26.11321035,0.409041838
GRC,2010,21547.72418,18.21575876,0.128880433
GRC,2020,17486.95133,13.54100231,-0.214592107
GRD,1990,5102.69173,,0.839876746
GRD,2000,6677.126523,,0.676075748
GRD,2010,7670.711658,,0.297971859
GRD,2020,8413.283355,,0.309914935
GRL,1990,26805.5497,,0.541029273
GRL,2000,31623.05915,,0.151400483
GRL,2010,43481.51611,52.35331723,0.37392496
GRL,2020,48169.9407,33.01521808,0.252238303
GTM,1990,2741.538134,13.60261471,2.800436191
GTM,2000,3165.932375,17.83538743,2.37572059
GTM,2010,3546.625816,14.16419369,1.981564659
GTM,2020,4005.839116,13.50068237,1.471377105
GUM,1990,,,2.04883829
GUM,2000,,,1.115750658
GUM,2010,32644.14841,,0.209801847
GUM,2020,32884.88526,,0.216072141
GUY,1990,2377.217954,31.13309854,-0.660706211
GUY,2000,3759.607897,23.77598249,0.04564135
GUY,2010,4860.09111,,-0.378060197
GUY,2020,9010.610005,,-0.022784318
HIC,1990,24715.01397,25.9449919,0.629927284
HIC,2000,30158.07008,24.34886959,0.505295214
HIC,2010,34192.51466,21.15695698,0.445325901
HIC,2020,37538.25237,22.66552932,0.266061997
HKG,1990,21357.26195,27.17052478,0.321315033
HKG,2000,26933.23775,27.58240928,0.881594076
HKG,2010,38090.0214,23.89046642,0.734446396
HKG,2020,41451.29811,18.98188686,-0.358932662
HND,1990,457.9810401,20.81452973,2.82334775
HND,2000,1789.477985,28.28843121,2.73259067
HND,2010,2108.473145,21.87984069,2.12597244
HND,2020,2189.431687,19.66637273,1.754564325
HPC,1990,695.2486353,15.0654262,2.688042878
HPC,2000,679.1802412,20.1502241,2.714489522
HPC,2010,829.3781453,23.36190737,2.771111882
HPC,2020,946.6808067,24.41263233,2.761998161
HRV,1990,9754.649025,,0.211805086
HRV,2000,8880.269807,19.32107219,-0.986434859
HRV,2010,11965.00493,20.36706196,-0.226821271
HRV,2020,13545.48812,23.54436627,-0.894863744
HTI,1990,1627.312645,19.92006691,2.059314269
HTI,2000,1342.894905,8.322396005,1.84581483
HTI,2010,1317.583893,24.98821766,1.166726714
HTI,2020,1331.697785,17.70308378,1.241099932
HUN,1990,8646.447544,,-1.033117297
HUN,2000,8979.735786,28.1973909,-0.259764908
HUN,2010,11287.36867,21.18927912,-0.226013876
HUN,2020,14664.29712,27.46449407,-0.252049643
IBD,1990,2199.53015,27.25376712,1.744778863
IBD,2000,2749.808317,24.17547469,1.232836028
IBD,2010,4532.440687,32.41779094,1.026852784
IBD,2020,6286.407756,33.18898004,0.683339753
IBT,1990,1931.413583,26.60774648,1.922201457
IBT,2000,2339.751014,24.00917674,1.498009549
IBT,2010,3719.859754,31.89923968,1.347405436
IBT,2020,4971.587221,32.68456905,1.089756754
IDA,1990,874.9611827,20.98112394,2.625842264
IDA,2000,899.6142831,23.37025052,2.435582632
IDA,2010,1216.180562,22.21442684,2.341602947
IDA,2020,1384.639834,25.5623645,2.206972277
IDB,1990,1349.039187,,3.036933146
IDB,2000,1294.786352,,2.599043784
IDB,2010,1720.093349,,2.552233335
IDB,2020,1918.379847,,2.003035668
IDN,1990,1470.918223,32.70769009,1.814426049
IDN,2000,1828.10266,22.24569693,1.432440078
IDN,2010,2670.81291,32.88012145,1.260541401
IDN,2020,3739.449066,32.34341205,0.849801187
IDX,1990,625.2545438,16.28479384,2.411689925
IDX,2000,688.7705846,21.93666609,2.348544459
IDX,2010,941.1701033,22.5553137,2.226826548
IDX,2020,1096.831734,27.96589467,2.317113656
IMN,1990,28042.44412,,1.647368023
IMN,2000,46274.97097,,1.155221589
IMN,2010,70747.84176,,1.119835216
IMN,2020,86595.06761,,0.127365049
IND,1990,537.8702695,27.3361977,2.213130886
IND,2000,756.7041095,25.67731668,1.879398262
IND,2010,1235.159391,39.78562418,1.454603619
IND,2020,1806.501106,28.92238401,0.973438647
IRL,1990,23456.99936,21.52711669,0.084413021
IRL,2000,42599.48039,24.50795076,1.333042666
IRL,2010,46991.64647,17.29135638,0.544884384
IRL,2020,80927.93648,42.59120417,1.26378913
IRN,1990,3222.201027,33.02184263,2.911406766
IRN,2000,3885.301834,35.10053349,1.476195633
IRN,2010,5249.061334,40.26244925,1.251673922
IRN,2020,5132.824308,47.92093406,0.768757498
IRQ,1990,3526.579251,44.32031327,1.240017963
IRQ,2000,4172.780251,29.1473475,3.277527852
IRQ,2010,3881.94327,15.86786539,3.231385218
IRQ,2020,4213.998438,22.346859,2.219386695
ISL,1990,37302.80603,20.41113844,0.777662199
ISL,2000,43472.33699,24.61946677,1.369192833
ISL,2010,49528.48646,13.83377144,-0.143903
ISL,2020,52464.30729,21.04634009,1.623086251
ISR,1990,22395.11188,22.40761596,3.094603009
ISR,2000,29413.48946,25.70541357,2.642331913
ISR,2010,33344.72133,21.53835088,1.82675241
ISR,2020,37935.54327,24.68981613,1.763679392
ITA,1990,27625.17923,23.16199035,0.083708573
ITA,2000,32609.66746,21.3236101,0.045303631
ITA,2010,31928.55436,20.79697161,0.442226157
ITA,2020,29469.79892,17.89868683,-0.487095092
JAM,1990,4773.628482,,0.757565161
JAM,2000,5197.396922,,0.693820205
JAM,2010,5271.572215,,0.421944554
JAM,2020,5317.84145,,0.264166648
JOR,1990,3202.33686,30.79569737,7.815196245
JOR,2000,3412.076732,22.36151166,2.072604791
JOR,2010,4621.574285,35.03763119,2.151093317
JOR,2020,3806.879494,21.45854138,1.795432282
JPN,1990,28422.21312,35.45157969,0.331782885
JPN,2000,31430.63113,28.41743932,0.167275578
JPN,2010,32942.20208,22.59030413,0.017960542
JPN,2020,34642.97187,25.22401723,-0.294194618
KAZ,1990,5557.082157,,0.919690778
KAZ,2000,4269.330168,18.13904803,0.292205742
KAZ,2010,8704.706555,25.37354902,1.29700375
KAZ,2020,10565.03598,28.80691536,1.408915638
KEN,1990,1329.333128,24.1640929,3.440456354
KEN,2000,1195.412969,17.41409062,3.012939945
KEN,2010,1340.164674,21.2639988,2.901588455
KEN,2020,1609.334141,19.65158417,1.961976337
KGZ,1990,1203.472083,24.06542056,1.925304701
KGZ,2000,718.3428324,20.01003707,1.189895651
KGZ,2010,962.7647898,27.4015936,1.426166292
KGZ,2020,1093.328565,25.0304914,2.048385454
KHM,1990,824.0516558,,4.17106847
KHM,2000,598.5619153,20.34425094,1.59016993
KHM,2010,1155.852369,22.31749004,1.556217454
KHM,2020,1908.634275,31.35122754,1.470629886
KIR,1990,1387.652921,,2.30817939
KIR,2000,1555.581904,,1.692322693
KIR,2010,1328.787641,15.91629804,2.0793514
KIR,2020,1777.044761,14.69779904,1.742304693
KNA,1990,10136.98655,,-0.803058879
KNA,2000,14039.02811,,1.440218997
KNA,2010,17688.06901,,-0.149314249
KNA,2020,18918.82635,,-0.174799132
KOR,1990,9672.578452,40.15294665,0.985130494
KOR,2000,17763.13534,33.01758713,0.836180864
KOR,2010,26623.04871,32.7792422,0.498225084
KOR,2020,33215.92989,31.52486572,0.137869266
KWT,1990,20140.78347,17.62511305,-27.47078648
KWT,2000,31341.97808,10.66523772,2.837165773
KWT,2010,32568.49818,17.65847417,5.155060491
KWT,2020,25541.5379,18.65064875,-0.951064117
LAC,1990,5718.669578,20.00418935,1.886207286
LAC,2000,6581.311178,19.74917081,1.464409255
LAC,2010,7849.055466,21.69380743,1.09312878
LAC,2020,7669.339773,17.49322296,0.830265805
LAO,1990,634.525297,,2.845823241
LAO,2000,917.2280386,13.41565796,1.678985478
LAO,2010,1564.910683,27.46248774,1.471928721
LAO,2020,2529.746227,,1.493386752
LBN,1990,2752.724423,31.31269096,1.963138465
LBN,2000,5958.978368,20.41122214,1.725524567
LBN,2010,8955.543362,24.93725851,0.976748359
LBN,2020,6440.828431,8.098177366,-1.603862582
LBR,1990,754.1340095,,-12.42509051
LBR,2000,754.8509174,,3.702568448
LBR,2010,621.7832951,,2.896058116
LBR,2020,605.0254754,,2.074833406
LBY,1990,11085.94399,18.61576054,2.328670286
LBY,2000,10853.80595,11.84062851,1.653226142
LBY,2010,12913.93349,19.80079923,2.039057706
LBY,2020,6102.79864,9.449830477,1.348449803
LCA,1990,8418.43122,,0.980439316
LCA,2000,9198.938944,,1.214027431
LCA,2010,10191.31468,,0.6086146
LCA,2020,8379.274951,,0.330981924
LCN,1990,5779.974096,19.57194145,1.884386268
LCN,2000,6742.026937,20.09473141,1.460066858
LCN,2010,8060.797047,21.68345039,1.088737947
LCN,2020,7812.425444,17.51683727,0.705164689
LDC,1990,609.2988619,,2.474567235
LDC,2000,638.3944983,22.29721004,2.405857227
LDC,2010,904.747247,24.88516313,2.325427133
LDC,2020,1037.481197,27.86191791,2.392906857
LIC,1990,667.1720515,,2.399893938
